Product Name,Price,Image
Laptop gaming ASUS ROG GL553VD. i7/16GB/SSD128GB/HD1TB/GTX1050 Fullset,Rp 12.400.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2020/1/20/588067/588067_9a28159d-42ad-4299-b294-3000317e2f53_1080_1080.jpg
LENOVO THINKPAD X230 DUAL DRIVE LAPTOP CORE i5 GEN 3 MULUS MUANTAP - STANDART,Rp 2.699.999,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2020/1/16/5190425/5190425_dd4b714d-71d8-409e-8f7f-416163fae229_908_908
LAPTOP ASUS X441MA N4000 4GB 1TB 14 W10 GA011T/GA012T/GA013T/GA014T - Hitam,Rp 3.799.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/4/29/15114037/15114037_03674033-94ef-4a25-bb01-648ec34d70fe_1250_1250
"LAPTOP ACER SWIFT 3 SF313 51 514S i5 8250U-8GB-256SSD 13,3FHD W10",Rp 7.925.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/11/29/20676804/20676804_31d1b59f-25f6-4848-aa88-225221b2f107_800_800
Laptop DELL D630 | Core2Duo | Good Condition |Murah,Rp 1.350.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/1/23/535994/535994_b749fa96-39d5-446d-9830-5ce252d721de_1600_1600.jpg
LAPTOP ACER TRAVELMATE 8471 CORE 2 DUO MULUS MANTAP GAN DNA BERGARANSI,Rp 1.750.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/10/1/6685195/6685195_d9aab915-9bd5-43f4-b0a6-3a8ac5805327_1728_1728.jpg
LAPTOP LENOVO X121E AMD - RAM 2GB - HDD 320GB - TAS ORI - MOUSE,Rp 1.700.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/10/16/10386604/10386604_e2eb487b-e82b-4545-ac04-01ac9fe4be6c_1919_1919
"Laptop Lenovo V130 Celeron 3867U 4Gb 1TB 14"" Dos",Rp 3.325.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/9/3/20030729/20030729_6eb8bd97-8da1-423c-98c6-d1d41d9b0fc6_779_779
Laptop HP 14s-cf1051TU Silver Murah,Rp 4.399.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/11/1/7103921/7103921_52f0e19d-b58b-492e-aca6-9ea8fcb2d52c_500_500
Netbook HP 3125 AMD,Rp 1.500.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/12/23/7315350/7315350_69e6e175-868b-4832-af56-63624da23a9e_1544_1544.jpg
Laptop Lenovo i5-3320M|RAM 4GB|HDD 300GB|,Rp 2.050.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/11/22/12896339/12896339_1fd40a40-ed10-47ab-afdd-a738bb095e5a_2048_2048
"ASUS Laptop VivoBook E203-MAH Celeron N400/2GB/11.6""/500GB/Win 10",Rp 3.159.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/10/26/70239437/70239437_f4cd8e9b-7518-4101-870f-d7d39c0e1c15_606_606
"ASUS Laptop X441UA 7th GEN i3-7020U 4GB 1TB DVDRW LED14"" WIN10 RESMI - Hitam",Rp 5.695.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/1/19/12560270/12560270_43641be3-1583-4d4c-85c8-ca2b9b0dc3fb_1000_1021.jpg
Laptop UNBK Bekas Sony Vaio VGN-NR430D Intel Dual CPU 2GB 80GB NB255,Rp 1.150.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/11/29/2490967/2490967_fd8fe855-e66d-4f6f-b695-18cabe71f2c7_900_900
OBRAL Laptop Lenovo Thinkpad X131e - intel - 8GB RAM - 320GB HDD Murah,Rp 1.899.000,https://ecs7.tokopedia.net/img/cache/200-square/attachment/2020/1/10/157859439149532/157859439149532_edd16907-4006-4bdf-bdb1-89ade8a6ddf2.png
Laptop Fujitsu Lifebook P771/D Ci5 2520M 2.5Ghz 4Gb/250Gb Nb290r,Rp 2.000.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2017/11/1/223715592/223715592_65764800-c13a-4f56-b63f-ba52418c6ba8_800_800.jpg
Laptop Dell Latitude E5440 Core i5 4300U RAM 4GB HDD 500GB DVD Camera,Rp 2.950.000,https://ecs7.tokopedia.net/img/cache/200-square/product-1/2019/8/12/49331410/49331410_0f979381-dcfd-4f7b-bc69-fef45ea8126d_2016_2016
